timestamp,slot,temperature,temp_change,temperature_anomaly,humidity,network_type,latency,latency_anomaly,motion,fan_state,bulb_state,led_state,system_state,combined_anomaly,cpu_usage_percent,ram_usage_mb
2026-02-27 00:00:00,night,26.4,0.0,0,80.62,lora,112.22,0,0,0,0,0,idle,0,11.13,691.1
2026-02-27 00:01:00,night,33.79,7.39,1,66.63,4g,56.08,0,0,1,0,0,active,1,53.33,1743.47
2026-02-27 00:02:00,night,25.06,-8.73,1,78.25,wifi,30.88,0,0,0,0,0,idle,1,12.78,493.56
2026-02-27 00:03:00,night,24.78,-0.28,0,79.15,lora,127.08,0,1,0,1,0,active,0,63.75,1123.97
2026-02-27 00:04:00,night,24.26,-0.52,0,80.41,4g,72.08,0,1,0,1,0,active,0,62.9,1123.94
2026-02-27 00:05:00,night,23.91,-0.35,0,83.67,4g,49.98,0,1,0,1,0,active,0,41.14,1628.15
2026-02-27 00:06:00,night,23.63,-0.28,0,81.59,wifi,31.3,0,0,0,0,0,idle,0,9.39,476.75
2026-02-27 00:07:00,night,23.21,-0.42,0,84.16,4g,49.41,0,1,0,1,0,active,0,42.1,1750.99
2026-02-27 00:08:00,night,22.83,-0.38,0,82.13,bluetooth,18.05,0,0,0,0,0,idle,0,19.01,440.64
2026-02-27 00:09:00,night,22.5,-0.33,0,82.76,wifi,34.35,0,0,0,0,0,idle,0,8.57,682.28
2026-02-27 00:10:00,night,22.67,0.17,0,85.56,bluetooth,22.27,0,0,0,0,0,idle,0,15.26,668.47
2026-02-27 00:11:00,night,22.78,0.11,0,86.07,wifi,39.88,0,1,0,1,0,active,0,46.37,1671.23
2026-02-27 00:12:00,night,22.74,-0.04,0,82.89,lora,125.11,0,0,0,0,0,idle,0,8.66,664.75
2026-02-27 00:13:00,night,22.57,-0.17,0,86.57,lora,133.57,0,0,0,0,0,idle,0,8.84,487.79
2026-02-27 00:14:00,night,22.71,0.14,0,82.14,lora,123.97,0,0,0,0,0,idle,0,17.98,781.94
2026-02-27 00:15:00,night,22.67,-0.04,0,84.69,lora,154.46,0,0,0,0,0,idle,0,19.1,560.46
2026-02-27 00:16:00,night,22.37,-0.3,0,82.89,wifi,34.76,0,1,0,1,0,active,0,62.49,1235.96
2026-02-27 00:17:00,night,22.36,-0.01,0,83.04,4g,68.27,0,0,0,0,0,idle,0,9.72,758.55
2026-02-27 00:18:00,night,22.47,0.11,0,83.49,4g,68.76,0,0,0,0,0,idle,0,11.4,424.06
2026-02-27 00:19:00,night,22.49,0.02,0,85.11,bluetooth,13.94,0,0,0,0,0,idle,0,13.23,501.05
2026-02-27 00:20:00,night,22.7,0.21,0,85.41,4g,54.18,0,1,0,1,0,active,0,59.84,1052.71
2026-02-27 00:21:00,night,22.33,-0.37,0,82.26,wifi,34.43,0,0,0,0,0,idle,0,9.85,576.35
2026-02-27 00:22:00,night,21.99,-0.34,0,83.62,lora,111.73,0,0,0,0,0,idle,0,10.81,545.61
2026-02-27 00:23:00,night,22.04,0.05,0,86.58,lora,107.27,0,0,0,0,0,idle,0,16.9,557.35
2026-02-27 00:24:00,night,22.1,0.06,0,83.17,wifi,38.01,0,1,0,1,0,active,0,35.34,1442.9
2026-02-27 00:25:00,night,22.23,0.13,0,83.88,lora,113.77,0,0,0,0,0,idle,0,11.09,462.35
2026-02-27 00:26:00,night,22.07,-0.16,0,85.74,4g,55.56,0,1,0,1,0,active,0,41.68,1024.5
2026-02-27 00:27:00,night,14.36,-7.71,1,90.0,wifi,39.62,0,0,0,0,0,idle,1,11.67,458.05
2026-02-27 00:28:00,night,22.58,8.22,1,83.94,bluetooth,25.57,0,1,0,1,0,active,1,63.34,1730.71
2026-02-27 00:29:00,night,22.72,0.14,0,81.93,4g,61.13,0,0,0,0,1,idle,0,18.32,746.07
2026-02-27 00:30:00,night,22.49,-0.23,0,84.45,bluetooth,19.84,0,0,0,0,0,idle,0,9.62,506.2
2026-02-27 00:31:00,night,22.2,-0.29,0,84.03,wifi,38.97,0,0,0,0,0,idle,0,17.67,563.81
2026-02-27 00:32:00,night,22.21,0.01,0,86.46,wifi,27.66,0,0,0,0,0,idle,0,15.04,776.03
2026-02-27 00:33:00,night,21.99,-0.22,0,84.91,bluetooth,20.1,0,0,0,0,0,idle,0,16.69,484.91
2026-02-27 00:34:00,night,13.77,-8.22,1,90.0,bluetooth,16.85,0,0,0,0,0,idle,1,18.68,693.5
2026-02-27 00:35:00,night,21.78,8.01,1,87.11,wifi,27.79,0,0,0,0,0,idle,1,11.81,832.25
2026-02-27 00:36:00,night,21.59,-0.19,0,83.33,lora,105.46,0,0,0,0,0,idle,0,12.11,707.29
2026-02-27 00:37:00,night,21.76,0.17,0,82.36,lora,89.96,0,0,0,0,0,idle,0,8.63,588.33
2026-02-27 00:38:00,night,13.719999999999999,-8.04,1,90.0,bluetooth,20.14,0,1,0,1,0,active,1,61.98,1471.07
